time,calanoids,rotifers,nanophytoplankton,picophytoplankton
904.5,0.8418,0.30261,0.49843,0.18706
907.85,0.76224,0.28296,0.49778,0.3947
911.2,0.91573,0.25273,0.57449,0.2515
914.55,0.89405,0.30563,0.39434,0.31483
917.9,0.85161,0.47589,0.48476,0.35257
921.25,0.91032,0.59166,0.58794,0.33522
924.6,0.95622,0.56886,0.56304,0.2026
927.95,0.94779,0.48002,0.7066,0.20978
931.3,1.04978,0.42018,0.19638,0.17253
934.65,0.78187,0.22012,0.20954,0.06744
938,0.89006,0.20767,0.20953,0.07447
941.35,1.01574,0.18284,0.24764,0.06557
944.7,0.93989,0.06586,0.23801,0.02362
948.05,0.80703,0,0.80022,0.15848
951.4,0.86835,0,0.85299,0.26931
954.75,1.07806,0.28553,1.14771,0.40203
958.1,1.19676,0.30845,1.07405,0.31739
961.45,1.18262,0.31886,1.31912,0.45432
964.8,1.48323,0.34858,1.32287,0.45372
968.15,1.42861,0.42376,0.78195,0.32235
971.5,1.41846,0.42084,0.34089,0.3519
974.85,1.40437,0.37236,0.29546,0.33788
978.2,1.33228,0.3007,0.23985,0.17483
981.55,1.40674,0.16038,0.20991,0.26055
984.9,1.42331,0,0.30146,0.31089
988.25,1.37595,0,0.42008,0.40665
991.6,1.27886,0,0.41956,0.58169
994.95,1.28844,0,0.37139,0.70641
998.3,1.31774,0,0.38156,0.77885
1001.65,1.33401,0,0.59314,0.97817
1005,1.31133,0,0.5936,1.02527
1008.35,1.21886,0.07847,0.61001,1.18593
1011.7,1.27747,0.22448,0.70584,1.00077
1015.05,1.34107,0.27331,0.68003,1.22656
1018.4,1.71213,0.26352,0.40223,1.04802
1021.75,1.73442,0.24718,0.4194,0.5264
1025.1,1.73337,0.2947,0.30018,0.43874
1028.45,1.7408,0.43739,0.20269,0.22355
1031.8,1.49096,0.52111,0.28498,0.5917
1035.15,1.2551,0.51994,0.27257,0.77958
1038.5,1.15655,0.44317,0.36125,0.67826
1041.85,1.06867,0.21222,0.49867,0.5932
1045.2,0.9238,0.20767,0.4293,0.51684
1048.55,0.83356,0.2215,0.37221,0.47533
1051.9,0.80195,0.27326,0.36479,0.49129
1055.25,0.76921,0.29369,0.34974,0.4989
